Dataset,Model,AUROC,AUROC_CI_low,AUROC_CI_high,AUPRC,AUPRC_CI_low,AUPRC_CI_high,Brier,Brier_CI_low,Brier_CI_high,ECE,ECE_CI_low,ECE_CI_high
Alibaba DLRM,RandomForest,0.8453164186208285,0.8006195930431625,0.8817282330993674,0.3284642685809542,0.2551907573688963,0.4007865583751874,0.0447373356322998,0.0383468320400448,0.0506243340822192,0.0088308716847247,0.0042414194901589,0.0179015427850556
EKS Dec (Slurm),RandomForest,0.978129713423831,0.9532596153846152,0.9948680555555556,0.9227207977207978,0.8500021864515372,0.9846894128428416,0.0363362943198533,0.0135254489426158,0.0631422945676818,0.0199497618007611,0.0075163208769858,0.0570976559808178
Google Borg,RandomForest,0.5245256922701421,0.5063324482888739,0.5392607565543753,0.1043557815062311,0.0971543397513603,0.113103156989873,0.0892507602693576,0.0845307955601442,0.0939551047511488,0.0012502317285273,0.0005502298506231,0.0082783720105203
