job_id,submit_epoch_ms,total_pending_x,pending_gpus_x,job_type,start_epoch_ms,total_running,running_gpus_x,wait_ms,wait_seconds,wait_minutes,label_long_wait,wait_threshold_p90,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending_y,pending_gpus_y,running_gpus_y,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,util_mem_std,util_mem_max,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,mem_used_mb_max,mem_total_mb_first,power_efficiency,mem_pressure,job_type_encoded
23,1770345935000,12,12,medium,1770346068000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8571428571428571,0.0205831903945111,0.8,0.5890320999754962,12,12,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,9.301583333333332,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
20,1770346062000,11,11,burst,1770346080000,2,2,18000,18.0,0.3,0,133.0,0.8461538461538461,0.0188679245283018,0.8,0.584121915820029,11,11,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.236666666666668,11.16,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
21,1770346069000,10,10,burst,1770346087000,2,2,18000,18.0,0.3,0,133.0,0.8333333333333334,0.0171526586620926,0.8,0.5784791309319611,10,10,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,9.443333333333332,11.24,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
22,1770346082000,5,5,burst,1770346100000,2,2,18000,18.0,0.3,0,133.0,0.7142857142857143,0.0085763293310463,0.4,0.4082871845135996,5,5,2,6,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.132,10.37,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
35,1770346089000,4,4,medium,1770346221000,2,2,132000,132.0,2.2,0,133.0,0.6666666666666666,0.006861063464837,0.4,0.3887249857061178,4,4,2,6,10,0.0,0.0,0.0,0.0,0.0,0.0,20.5,21.0,9.3075,11.24,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
36,1770346101000,3,3,medium,1770346234000,2,2,133000,133.0,2.216666666666667,0,133.0,0.6,0.0051457975986277,0.4,0.3615437392795883,3,3,2,6,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.328083333333334,11.36,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
32,1770346223000,3,3,medium,1770346355000,2,2,132000,132.0,2.2,0,133.0,0.6,0.0051457975986277,0.5,0.3915437392795883,3,3,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,20.141666666666666,21.0,9.195166666666667,11.04,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
33,1770346235000,2,2,medium,1770346368000,2,2,133000,133.0,2.216666666666667,0,133.0,0.5,0.0034305317324185,0.5,0.3510291595197256,2,2,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.234666666666667,11.26,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
29,1770346357000,4,4,medium,1770346489000,2,2,132000,132.0,2.2,0,133.0,0.6666666666666666,0.006861063464837,0.8,0.5087249857061178,4,4,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.18225,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
24,1770346414000,3,3,medium,1770346546000,2,2,132000,132.0,2.2,0,133.0,0.6,0.0051457975986277,0.8,0.4815437392795883,3,3,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.19275,10.97,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
25,1770346533000,2,2,medium,1770346666000,2,2,133000,133.0,2.216666666666667,0,133.0,0.5,0.0034305317324185,0.8,0.4410291595197255,2,2,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.28625,11.15,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
26,1770346548000,0,0,medium,1770346680000,2,2,132000,132.0,2.2,0,133.0,0.0,0.0,0.7,0.21,0,0,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.161083333333332,11.27,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
34,1770346667000,0,0,medium,1770346800000,1,1,133000,133.0,2.216666666666667,0,133.0,0.0,0.0,0.8,0.24,0,0,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.297166666666667,11.34,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
38,1770347088000,5,5,medium,1770347220000,2,2,132000,132.0,2.2,0,133.0,0.7142857142857143,0.0085763293310463,0.0,0.2882871845135996,5,5,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.189083333333334,11.15,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
39,1770347088000,5,5,medium,1770347220000,2,2,132000,132.0,2.2,0,133.0,0.7142857142857143,0.0085763293310463,0.0,0.2882871845135996,5,5,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.159916666666668,11.07,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
48,1770347222000,19,19,medium,1770347354000,2,2,132000,132.0,2.2,0,133.0,0.9047619047619048,0.0325900514579759,0.8,0.6116817773421548,19,19,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.230916666666667,11.24,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
49,1770347222000,19,19,medium,1770347355000,2,2,133000,133.0,2.216666666666667,0,133.0,0.9047619047619048,0.0325900514579759,0.8,0.6116817773421548,19,19,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.189416666666666,11.15,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
45,1770347356000,18,18,medium,1770347488000,2,2,132000,132.0,2.2,0,133.0,0.9473684210526316,0.0308747855917667,0.8,0.6282098040985826,18,18,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.314666666666666,11.04,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
46,1770347356000,17,17,medium,1770347489000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8947368421052632,0.0291595197255574,0.8,0.6066425927597725,17,17,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.232333333333337,10.97,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
60,1770347490000,28,28,burst,1770347508000,2,2,18000,18.0,0.3,0,133.0,0.9333333333333332,0.0480274442538593,0.8,0.6277415666094912,28,28,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.08,9.95,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
40,1770347490000,27,27,medium,1770347623000,2,2,133000,133.0,2.216666666666667,0,133.0,0.9310344827586208,0.04631217838765,0.8,0.6263074466197434,27,27,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.33425,11.36,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
41,1770347509000,26,26,medium,1770347642000,2,2,133000,133.0,2.216666666666667,0,133.0,0.9285714285714286,0.0445969125214408,0.8,0.6248076451850038,26,26,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.26825,11.64,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
42,1770347624000,25,25,medium,1770347757000,2,2,133000,133.0,2.216666666666667,0,133.0,0.925925925925926,0.0428816466552315,0.8,0.6232348643669399,25,25,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.19825,11.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
43,1770347643000,16,16,medium,1770347776000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8888888888888888,0.0274442538593482,0.0,0.36378883171336,16,16,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.150666666666666,11.04,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
65,1770347758000,23,23,short,1770347793000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.92,0.039451114922813,0.8,0.6198353344768439,23,23,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.174333333333331,11.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
66,1770347777000,22,22,short,1770347811000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.9166666666666666,0.0377358490566037,0.8,0.6179874213836478,22,22,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.198666666666666,10.35,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
67,1770347794000,21,21,short,1770347829000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.9130434782608696,0.0360205831903945,0.8,0.6160235662614661,21,21,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.140666666666668,10.87,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
68,1770347813000,20,20,short,1770347847000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.9090909090909092,0.0343053173241852,0.8,0.6139279588336193,20,20,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.099333333333334,10.35,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
59,1770347830000,11,11,burst,1770347848000,2,2,18000,18.0,0.3,0,133.0,0.8461538461538461,0.0188679245283018,0.0,0.344121915820029,11,11,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.110666666666669,10.47,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
70,1770347848000,18,18,burst,1770347867000,2,2,19000,19.0,0.3166666666666666,0,133.0,0.9,0.0308747855917667,0.8,0.60926243567753,18,18,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.244666666666664,10.75,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
71,1770347850000,17,17,burst,1770347868000,2,2,18000,18.0,0.3,0,133.0,0.8947368421052632,0.0291595197255574,0.8,0.6066425927597725,17,17,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.21,10.87,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
72,1770347868000,16,16,burst,1770347886000,2,2,18000,18.0,0.3,0,133.0,0.8888888888888888,0.0274442538593482,0.8,0.60378883171336,16,16,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.132666666666667,10.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
44,1770347869000,15,15,medium,1770348002000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8823529411764706,0.0257289879931389,0.8,0.60065987286853,15,15,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.228916666666668,11.16,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
50,1770347887000,14,14,medium,1770348020000,2,2,133000,133.0,2.216666666666667,0,133.0,0.875,0.0240137221269296,0.8,0.5972041166380789,14,14,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.008333333333333,21.0,9.232916666666666,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
51,1770348003000,13,13,medium,1770348136000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8666666666666667,0.0222984562607204,0.8,0.5933562035448827,13,13,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.1505,10.86,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
52,1770348021000,12,12,medium,1770348154000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8571428571428571,0.0205831903945111,0.8,0.5890320999754962,12,12,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.008333333333333,21.0,9.254583333333333,10.55,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
56,1770348137000,11,11,burst,1770348156000,2,2,19000,19.0,0.3166666666666666,0,133.0,0.8461538461538461,0.0188679245283018,0.8,0.584121915820029,11,11,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.216666666666669,10.47,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
57,1770348155000,10,10,burst,1770348174000,2,2,19000,19.0,0.3166666666666666,0,133.0,0.8333333333333334,0.0171526586620926,0.8,0.5784791309319611,10,10,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.246,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
58,1770348157000,9,9,burst,1770348175000,2,2,18000,18.0,0.3,0,133.0,0.8181818181818182,0.0154373927958833,0.8,0.5719039451114923,9,9,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.256,11.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
69,1770348175000,8,8,memheavy,1770348242000,2,2,67000,67.0,1.1166666666666667,0,133.0,0.8,0.0137221269296741,0.8,0.5641166380789022,8,8,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.273166666666668,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,4
47,1770348177000,7,7,medium,1770348309000,1,1,132000,132.0,2.2,0,133.0,0.7777777777777778,0.0120068610634648,0.8,0.5547131694301506,7,7,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.33225,11.66,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
53,1770348243000,6,6,burst,1770348261000,2,2,18000,18.0,0.3,0,133.0,0.75,0.0102915951972555,0.8,0.5430874785591767,6,6,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.066666666666663,21.0,9.332,10.35,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
54,1770348263000,5,5,burst,1770348281000,2,2,18000,18.0,0.3,0,133.0,0.7142857142857143,0.0085763293310463,0.8,0.5282871845135997,5,5,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.250666666666666,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
55,1770348282000,0,0,burst,1770348301000,2,2,19000,19.0,0.3166666666666666,0,133.0,0.0,0.0,0.3,0.09,0,0,2,7,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.165333333333333,10.45,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
74,1770348326000,5,5,short,1770348360000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.8333333333333334,0.0085763293310463,0.9,0.6059062321326473,5,5,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.212333333333332,10.85,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
